,TractFIPS,City
116,48453002403.0,Austin
117,48453002312.0,Austin
118,48453002304.0,Austin
119,48453002308.0,Austin
120,48453002314.0,Austin
121,48453002316.0,Austin
122,48453002112.0,Austin
123,48453002113.0,Austin
124,48453002212.0,Austin
125,48453002409.0,Austin
126,48453001756.0,Austin
127,48453001785.0,Austin
128,48453001917.0,Austin
129,48453001505.0,Austin
130,48453000401.0,Austin
131,48453000302.0,Austin
132,48453000203.0,Austin
133,48453002005.0,Austin
134,48453002104.0,Austin
135,48453000102.0,Austin
136,48453001835.0,Austin
137,48453001504.0,Austin
138,48453001839.0,Austin
139,48453001847.0,Austin
140,48453001833.0,Austin
141,48453001844.0,Austin
142,48453001200.0,Austin
143,48453001401.0,Austin
144,48453001832.0,Austin
145,48453001303.0,Austin
146,48453001829.0,Austin
147,48453001848.0,Austin
148,48453001501.0,Austin
149,48453001850.0,Austin
150,48491020411.0,Austin
151,48453001503.0,Austin
152,48453001774.0,Austin
153,48453000304.0,Austin
154,48453002430.0,Austin
155,48453001770.0,Austin
156,48491020509.0,Austin
157,48491020508.0,Austin
158,48491020503.0,Austin
159,48453001846.0,Austin
160,48491020504.0,Austin
161,48491020404.0,Austin
162,48491020403.0,Austin
163,48491020410.0,Austin
164,48453002002.0,Austin
165,48453002004.0,Austin
166,48453001402.0,Austin
167,48453001602.0,Austin
168,48491020405.0,Austin
169,24510100300.0,Baltimore
170,24510260404.0,Baltimore
171,24510260402.0,Baltimore
172,24510270200.0,Baltimore
173,24510260403.0,Baltimore
174,24510100200.0,Baltimore
175,24510090200.0,Baltimore
176,24510260501.0,Baltimore
177,24510090800.0,Baltimore
178,24510270101.0,Baltimore
179,24510120600.0,Baltimore
180,24510110100.0,Baltimore
181,24510110200.0,Baltimore
182,24510120500.0,Baltimore
183,24510120100.0,Baltimore
184,24510261100.0,Baltimore
185,24510270102.0,Baltimore
186,24510090500.0,Baltimore
187,24510120300.0,Baltimore
188,24510090300.0,Baltimore
189,24510080600.0,Baltimore
190,24510090700.0,Baltimore
191,24510270301.0,Baltimore
192,24510080302.0,Baltimore
193,24510080400.0,Baltimore
194,24510080500.0,Baltimore
